scenario,measure,country,country_name,scenario_short,scenario_label,transition,damage_curve,mitigation_cost,measure_label,oecd_measure_label,category,unit_hint,frequency,year,value,series_code,series_name,source_dataset,source_url,downloaded_at,base_value,annualised_growth_from_base_pct,change_from_base_pct
BAU1,ERS1574,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Trend employment rate, 15-74","Trend employment rate, as a percentage of population aged 15-74",Supply-side drivers,Percent,A,2025,69.844428370552,AUS.ERS1574.BAU1.A,"Australia – Trend employment rate, as a percentage of population aged 15-74 – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1,2026-05-05 18:05:26 AEST,69.844428370552,,0
BAU1,ERS1574,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Trend employment rate, 15-74","Trend employment rate, as a percentage of population aged 15-74",Supply-side drivers,Percent,A,2030,71.3437654501928,AUS.ERS1574.BAU1.A,"Australia – Trend employment rate, as a percentage of population aged 15-74 – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1,2026-05-05 18:05:26 AEST,69.844428370552,0.42569639184169,2.1466810089507
BAU1,ERS1574,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Trend employment rate, 15-74","Trend employment rate, as a percentage of population aged 15-74",Supply-side drivers,Percent,A,2050,74.8717844150707,AUS.ERS1574.BAU1.A,"Australia – Trend employment rate, as a percentage of population aged 15-74 – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1,2026-05-05 18:05:26 AEST,69.844428370552,0.278414024302553,7.19793426878179
BAU1,ERS1574,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Trend employment rate, 15-74","Trend employment rate, as a percentage of population aged 15-74",Supply-side drivers,Percent,A,2071,75.9087748219082,AUS.ERS1574.BAU1.A,"Australia – Trend employment rate, as a percentage of population aged 15-74 – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1,2026-05-05 18:05:26 AEST,69.844428370552,0.181168196707016,8.68264884234211
BAU1,ERS1574,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Trend employment rate, 15-74","Trend employment rate, as a percentage of population aged 15-74",Supply-side drivers,Percent,A,2100,75.8857295891358,AUS.ERS1574.BAU1.A,"Australia – Trend employment rate, as a percentage of population aged 15-74 – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ERS1574..A?observations=1,2026-05-05 18:05:26 AEST,69.844428370552,0.110672308494575,8.64965375123745
BAU1,ETPT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential employment,Potential employment of total economy,Output and population,Persons,A,2025,14267335.5314074,AUS.ETPT.BAU1.A,"Australia – Potential employment of total economy – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1,2026-05-05 18:05:26 AEST,14267335.5314074,,0
BAU1,ETPT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential employment,Potential employment of total economy,Output and population,Persons,A,2030,15560670.366134,AUS.ETPT.BAU1.A,"Australia – Potential employment of total economy – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1,2026-05-05 18:05:26 AEST,14267335.5314074,1.75062501029613,9.06500608946581
BAU1,ETPT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential employment,Potential employment of total economy,Output and population,Persons,A,2050,20188985.818599,AUS.ETPT.BAU1.A,"Australia – Potential employment of total economy – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1,2026-05-05 18:05:26 AEST,14267335.5314074,1.39834465489284,41.5049486581147
BAU1,ETPT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential employment,Potential employment of total economy,Output and population,Persons,A,2071,25369673.4632305,AUS.ETPT.BAU1.A,"Australia – Potential employment of total economy – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1,2026-05-05 18:05:26 AEST,14267335.5314074,1.25912586849315,77.8164774171251
BAU1,ETPT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential employment,Potential employment of total economy,Output and population,Persons,A,2100,32672108.5719076,AUS.ETPT.BAU1.A,"Australia – Potential employment of total economy – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.ETPT..A?observations=1,2026-05-05 18:05:26 AEST,14267335.5314074,1.11085679030247,128.999370625194
BAU1,GDPVTRD,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Potential GDP, volume","Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs,A,2025,1748439252761.52,AUS.GDPVTRD.BAU1.A,"Australia – Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1,2026-05-05 18:05:26 AEST,1748439252761.52,,0
BAU1,GDPVTRD,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Potential GDP, volume","Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs,A,2030,1.975599e+12,AUS.GDPVTRD.BAU1.A,"Australia – Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1,2026-05-05 18:05:26 AEST,1748439252761.52,2.47304698993949,12.9921441010718
BAU1,GDPVTRD,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Potential GDP, volume","Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs,A,2050,3.330482e+12,AUS.GDPVTRD.BAU1.A,"Australia – Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1,2026-05-05 18:05:26 AEST,1748439252761.52,2.6110807216333,90.4831405918032
BAU1,GDPVTRD,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Potential GDP, volume","Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs,A,2071,5.510336e+12,AUS.GDPVTRD.BAU1.A,"Australia – Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1,2026-05-05 18:05:26 AEST,1748439252761.52,2.52683597968841,215.157417753969
BAU1,GDPVTRD,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,"Potential GDP, volume","Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs,A,2100,9.992476e+12,AUS.GDPVTRD.BAU1.A,"Australia – Potential gross domestic product, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD..A?observations=1,2026-05-05 18:05:26 AEST,1748439252761.52,2.35136387937231,471.508331457194
BAU1,GDPVTRD_CAP,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential GDP per capita,"Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs per person,A,2025,63351.3867356751,AUS.GDPVTRD_CAP.BAU1.A,"Australia – Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1,2026-05-05 18:05:26 AEST,63351.3867356751,,0
BAU1,GDPVTRD_CAP,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential GDP per capita,"Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs per person,A,2030,66582.01,AUS.GDPVTRD_CAP.BAU1.A,"Australia – Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1,2026-05-05 18:05:26 AEST,63351.3867356751,0.999716595971245,5.0995304614313
BAU1,GDPVTRD_CAP,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential GDP per capita,"Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs per person,A,2050,88137.8,AUS.GDPVTRD_CAP.BAU1.A,"Australia – Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1,2026-05-05 18:05:26 AEST,63351.3867356751,1.32958015183005,39.1252891870273
BAU1,GDPVTRD_CAP,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential GDP per capita,"Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs per person,A,2071,116070.1,AUS.GDPVTRD_CAP.BAU1.A,"Australia – Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1,2026-05-05 18:05:26 AEST,63351.3867356751,1.32500031306526,83.2163524443221
BAU1,GDPVTRD_CAP,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential GDP per capita,"Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities",Output and population,USD at 2021 PPPs per person,A,2100,159335.1,AUS.GDPVTRD_CAP.BAU1.A,"Australia – Potential gross domestic product per capita, volume, USD at 2021 Purchasing Power Parities – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GDPVTRD_CAP..A?observations=1,2026-05-05 18:05:26 AEST,63351.3867356751,1.23734283363879,151.510042968442
BAU1,GDPVTR_ANNPCT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential output growth,Derived from OECD potential GDP level,Output and population,Percent per annum,A,2025,2.26020044190522,AUS.GDPVTR_ANNPCT.BAU1.A,"Australia - Potential output growth - Business as usual, median damage",OECD Economic Outlook 117 long-term scenarios,Derived from GDPVTRD,2026-05-05 18:05:26 AEST,2.26020044190522,,0
BAU1,GDPVTR_ANNPCT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential output growth,Derived from OECD potential GDP level,Output and population,Percent per annum,A,2030,2.62244209953282,AUS.GDPVTR_ANNPCT.BAU1.A,"Australia - Potential output growth - Business as usual, median damage",OECD Economic Outlook 117 long-term scenarios,Derived from GDPVTRD,2026-05-05 18:05:26 AEST,2.26020044190522,3.01768602145087,16.0269704806466
BAU1,GDPVTR_ANNPCT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential output growth,Derived from OECD potential GDP level,Output and population,Percent per annum,A,2050,2.52113153404516,AUS.GDPVTR_ANNPCT.BAU1.A,"Australia - Potential output growth - Business as usual, median damage",OECD Economic Outlook 117 long-term scenarios,Derived from GDPVTRD,2026-05-05 18:05:26 AEST,2.26020044190522,0.437973600042341,11.5445996426754
BAU1,GDPVTR_ANNPCT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential output growth,Derived from OECD potential GDP level,Output and population,Percent per annum,A,2071,2.25268791265072,AUS.GDPVTR_ANNPCT.BAU1.A,"Australia - Potential output growth - Business as usual, median damage",OECD Economic Outlook 117 long-term scenarios,Derived from GDPVTRD,2026-05-05 18:05:26 AEST,2.26020044190522,-0.0072374976431977,-0.332383319426866
BAU1,GDPVTR_ANNPCT,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Potential output growth,Derived from OECD potential GDP level,Output and population,Percent per annum,A,2100,1.94249766197367,AUS.GDPVTR_ANNPCT.BAU1.A,"Australia - Potential output growth - Business as usual, median damage",OECD Economic Outlook 117 long-term scenarios,Derived from GDPVTRD,2026-05-05 18:05:26 AEST,2.26020044190522,-0.201768041827399,-14.0563984521543
BAU1,GGFLQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government gross financial liabilities,General government gross financial liabilities as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2025,59.9400590451337,AUS.GGFLQ.BAU1.A,"Australia – General government gross financial liabilities as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1,2026-05-05 18:05:26 AEST,59.9400590451337,,0
BAU1,GGFLQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government gross financial liabilities,General government gross financial liabilities as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2030,64.87881,AUS.GGFLQ.BAU1.A,"Australia – General government gross financial liabilities as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1,2026-05-05 18:05:26 AEST,59.9400590451337,1.59612454892928,8.23948296605366
BAU1,GGFLQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government gross financial liabilities,General government gross financial liabilities as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2050,63.01444,AUS.GGFLQ.BAU1.A,"Australia – General government gross financial liabilities as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1,2026-05-05 18:05:26 AEST,59.9400590451337,0.20027572252892,5.12909230294776
BAU1,GGFLQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government gross financial liabilities,General government gross financial liabilities as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2071,62.75459,AUS.GGFLQ.BAU1.A,"Australia – General government gross financial liabilities as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1,2026-05-05 18:05:26 AEST,59.9400590451337,0.0998034135127668,4.69557587980856
BAU1,GGFLQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government gross financial liabilities,General government gross financial liabilities as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2100,63.14458,AUS.GGFLQ.BAU1.A,"Australia – General government gross financial liabilities as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.GGFLQ..A?observations=1,2026-05-05 18:05:26 AEST,59.9400590451337,0.0694667446540009,5.3462092061894
BAU1,NLGQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government net lending,General government net lending as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2025,-3.99678119491469,AUS.NLGQ.BAU1.A,"Australia – General government net lending as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1,2026-05-05 18:05:26 AEST,-3.99678119491469,,
BAU1,NLGQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government net lending,General government net lending as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2030,-1.635558,AUS.NLGQ.BAU1.A,"Australia – General government net lending as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1,2026-05-05 18:05:26 AEST,-3.99678119491469,,
BAU1,NLGQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government net lending,General government net lending as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2050,-1.638341,AUS.NLGQ.BAU1.A,"Australia – General government net lending as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1,2026-05-05 18:05:26 AEST,-3.99678119491469,,
BAU1,NLGQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government net lending,General government net lending as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2071,-1.550377,AUS.NLGQ.BAU1.A,"Australia – General government net lending as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1,2026-05-05 18:05:26 AEST,-3.99678119491469,,
BAU1,NLGQ,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,General government net lending,General government net lending as a percentage of GDP,Macro and fiscal,Percent of GDP,A,2100,-1.357449,AUS.NLGQ.BAU1.A,"Australia – General government net lending as a percentage of GDP – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.NLGQ..A?observations=1,2026-05-05 18:05:26 AEST,-3.99678119491469,,
BAU1,POPS,AUS,Australia,BAU median damage,"Business as usual, median damage",Business as usual,Median,None,Trend total population,Trend total population,Output and population,Persons,A,2025,27599068.3527835,AUS.POPS.BAU1.A,"Australia – Trend total population – Business-as-usual energy transition, median climate climate damage curve, no carbon mitigation costs – Annual",OECD Economic Outlook 117 long-term scenarios,https://api.db.nomics.world/v22/series/OECD/DSD_EO_LTB%40DF_EO_LTB/AUS.POPS..A?observations=1,2026-05-05 18:05:26 AEST,27599068.3527835,,0
